Mobile_Name,Mobile_Price,Rating,Image_URL
"Redmi Note 9 Pro Max (Champagne Gold, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹13,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71usqWEJleL._AC_UL320_.jpg
"Redmi 9 Power (Blazing Blue, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera | Snapdragon 662 Processor","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹18,999",3.8 out of 5 stars,https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UL320_.jpg
"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","₹10,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71PVpFc7FwL._AC_UL320_.jpg
"Redmi 9 Power (Fiery Red, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free","₹10,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81fwKtv0VHL._AC_UL320_.jpg
"Realme 7 (Mist Blue, 64 GB) (6 GB RAM)","₹14,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/31El3mZBGQL._AC_UL320_.jpg
"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 128GB Storage) - Full HD+ Display & AI Quad Camera","₹10,499",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71U2SiHgbiL._AC_UL320_.jpg
"Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","₹13,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71OxJeyywSL._AC_UL320_.jpg
"Redmi 9 Power (Blazing Blue, 4GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor","₹11,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71hEzQGO5qL._AC_UL320_.jpg
